"","poll.end.date","poll.source","party","variable","value"
"199","15-Oct-11","Nielsen","GRN","National","12"
"200","30-Sep-11","Newspoll","COAL","National","48"
"201","30-Sep-11","Newspoll","OTH","National","12"
"202","30-Sep-11","Newspoll","ALP","National","27"
"203","30-Sep-11","Newspoll","GRN","National","13"
"204","10-Sep-11","Nielsen","IND","National","6"
"205","10-Sep-11","Nielsen","FFP","National","2"
"206","10-Sep-11","Nielsen","COAL","National","48"
"207","10-Sep-11","Nielsen","OTH","National","4"
"208","10-Sep-11","Nielsen","ALP","National","27"
"209","10-Sep-11","Nielsen","GRN","National","13"
"210","13-Aug-11","Nielsen","IND","National","6"
"211","13-Aug-11","Nielsen","FFP","National","2"
"212","13-Aug-11","Nielsen","COAL","National","48"
"213","13-Aug-11","Nielsen","OTH","National","3"
"214","13-Aug-11","Nielsen","ALP","National","28"
"215","13-Aug-11","Nielsen","GRN","National","12"
"216","16-Jul-11","Nielsen","IND","National","6"
"217","16-Jul-11","Nielsen","FFP","National","2"
"218","16-Jul-11","Nielsen","COAL","National","51"
"219","16-Jul-11","Nielsen","OTH","National","5"
"220","16-Jul-11","Nielsen","ALP","National","26"
"221","16-Jul-11","Nielsen","GRN","National","11"
"222","30-Jun-11","Newspoll","COAL","National","45"
"223","30-Jun-11","Newspoll","OTH","National","11"
"224","30-Jun-11","Newspoll","ALP","National","32"
"225","30-Jun-11","Newspoll","GRN","National","12"
"226","16-Jun-11","Nielsen","IND","National","4"
"227","16-Jun-11","Nielsen","FFP","National","3"
"228","16-Jun-11","Nielsen","OTH","National","5"
"229","16-Jun-11","Nielsen","COAL","National","49"
"230","16-Jun-11","Nielsen","ALP","National","27"
"231","16-Jun-11","Nielsen","GRN","National","12"
"232","14-May-11","Nielsen","OTH","National","5"
"233","14-May-11","Nielsen","IND","National","6"
"234","14-May-11","Nielsen","FFP","National","2"
"235","14-May-11","Nielsen","COAL","National","47"
"236","14-May-11","Nielsen","ALP","National","31"
"237","14-May-11","Nielsen","GRN","National","10"
