"","poll.end.date","poll.source","party","national","new.south.wales","victoria","queensland","south.australia.nt","western.australia","capitals","others","male","female","x18.24","x25.39","x40.54","x55.","x18.34","x35.49","x50."
"106","17-Nov-12","Nielsen","IND",5,"5",4,4,4,4,4,6,4,5,4,5,6,"4",NA,NA,NA
"107","17-Nov-12","Nielsen","FFP",2,"2",3,3,5,0,2,2,2,3,2,4,2,"1",NA,NA,NA
"108","17-Nov-12","Nielsen","COAL",45,"48",43,45,39,50,44,45,49,40,30,40,41,"57",NA,NA,NA
"109","17-Nov-12","Nielsen","ALP",34,"32",34,33,38,30,34,34,31,36,40,33,35,"31",NA,NA,NA
"110","17-Nov-12","Nielsen","GRN",12,"10",15,11,12,13,13,11,10,14,23,15,13,"5",NA,NA,NA
"111","17-Nov-12","Nielsen","OTH",3,"3",2,3,1,4,3,2,3,2,1,3,4,"2",NA,NA,NA
"112","20-Oct-12","Nielsen","IND",6,"7",5,5,5,6,5,7,7,5,2,6,7,"6",NA,NA,NA
"113","20-Oct-12","Nielsen","FFP",2,"1",2,3,2,2,2,3,0.5,4,2,3,3,"0.5",NA,NA,NA
"114","20-Oct-12","Nielsen","COAL",43,"44",38,48,40,48,43,44,44,42,32,39,44,"49",NA,NA,NA
"115","20-Oct-12","Nielsen","ALP",34,"34",37,30,37,26,34,33,33,35,33,31,32,"38",NA,NA,NA
"116","20-Oct-12","Nielsen","GRN",11,"10",13,7,13,13,13,8,12,10,25,14,9,"5",NA,NA,NA
"117","20-Oct-12","Nielsen","OTH",4,"4",4,7,3,4,4,5,5,4,6,6,5,"2",NA,NA,NA
"118","30-Sep-12","Newspoll","COAL",45,"47",41,47,42,51,44,48,48,43,NA,NA,NA,"",38,44,51
"119","30-Sep-12","Newspoll","ALP",33,"31",37,30,33,30,34,31,31,34,NA,NA,NA,"",33,30,34
"120","30-Sep-12","Newspoll","GRN",10,"10",12,9,11,11,12,8,9,12,NA,NA,NA,"",16,13,5
"121","30-Sep-12","Newspoll","OTH",12,"12",10,14,14,8,10,13,12,11,NA,NA,NA,"",13,13,10
"122","15-Sep-12","Nielsen","IND",5,"6",3,6,7,4,4,7,5,5,3,5,4,"6",NA,NA,NA
"123","15-Sep-12","Nielsen","FFP",2,"0.5",2,2,3,2,2,2,1,2,1,3,2,"1",NA,NA,NA
"124","15-Sep-12","Nielsen","COAL",45,"45",44,48,36,50,43,47,47,42,38,44,41,"52",NA,NA,NA
"125","15-Sep-12","Nielsen","ALP",34,"35",34,30,39,34,36,31,32,37,33,30,42,"32",NA,NA,NA
"126","15-Sep-12","Nielsen","GRN",10,"9",12,9,12,9,11,9,9,11,20,12,10,"5",NA,NA,NA
"127","15-Sep-12","Nielsen","OTH",4,"4",5,5,3,1,4,4,5,3,4,6,2,"4",NA,NA,NA
"128","25-Aug-12","Nielsen","IND",6,"7",4,7,6,5,5,7,6,6,3,6,6,"6",NA,NA,NA
"129","25-Aug-12","Nielsen","FFP",2,"2",3,2,2,1,2,2,2,2,3,3,1,"1",NA,NA,NA
"130","25-Aug-12","Nielsen","COAL",45,"45",41,49,44,48,43,47,48,42,39,38,44,"53",NA,NA,NA
"131","25-Aug-12","Nielsen","ALP",32,"30",35,28,31,36,34,29,30,34,33,31,34,"31",NA,NA,NA
"132","25-Aug-12","Nielsen","GRN",11,"10",13,9,15,9,12,10,11,11,21,14,9,"7",NA,NA,NA
"133","25-Aug-12","Nielsen","OTH",5,"5",5,5,3,1,5,4,5,4,2,8,5,"2",NA,NA,NA
"134","28-Jul-12","Nielsen","IND",5,"5",3,7,9,5,4,7,5,5,5,5,6,"4",NA,NA,NA
"135","28-Jul-12","Nielsen","FFP",2,"1",3,1,3,3,1,3,1,2,3,2,3,"1",NA,NA,NA
"136","28-Jul-12","Nielsen","COAL",47,"45",45,53,40,56,46,49,50,44,39,45,51,"49",NA,NA,NA
"137","28-Jul-12","Nielsen","ALP",30,"30",34,26,30,25,32,27,29,32,28,26,27,"37",NA,NA,NA
"138","28-Jul-12","Nielsen","GRN",12,"14",13,8,13,6,12,11,10,14,20,17,9,"7",NA,NA,NA
"139","28-Jul-12","Nielsen","OTH",4,"4",2,5,5,5,4,3,4,3,5,5,5,"2",NA,NA,NA
"140","30-Jun-12","Nielsen","IND",5,"5",5,6,8,5,5,6,6,5,5,4,6,"6",NA,NA,NA
"141","30-Jun-12","Nielsen","FFP",2,"2",3,3,2,2,2,3,1,3,4,3,2,"1",NA,NA,NA
"142","30-Jun-12","Nielsen","COAL",48,"51",44,56,37,49,48,50,50,47,32,48,51,"53",NA,NA,NA
"143","30-Jun-12","Newspoll","COAL",47,"47",42,54,45,48,46,49,49,44,NA,NA,NA,"",41,46,51
