"","poll.end.date","poll.source","liberal","national","coalition","alp","greens","palmer.united","family.first","democrats","pauline.hanson.one.nation","others","coalition.2pp","labor.2pp","satisfied.pm","dissatisfied.pm","satisfied.loto","dissatisfied.loto","prime.minister.ppm","opposition.leader..ppm.","prime.minister","opposition.leader"
"59",2013-11-19,"Essential",41,3,44,35,9,NA,NA,NA,NA,11,53,47,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"60",2013-11-18,"Morgan Multi",40,2.5,42.5,32.5,11,NA,NA,NA,NA,14,51,49,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"61",2013-11-12,"Newspoll",NA,NA,45,32,12,NA,NA,NA,NA,11,53,47,45,38,37,24,46,30,"MR TONY ABBOTT","MR BILL SHORTEN"
"62",2013-11-12,"Essential",42,3,44,35,9,NA,NA,NA,NA,12,53,47,45,40,31,27,42,27,"MR TONY ABBOTT","MR BILL SHORTEN"
"63",2013-11-05,"Essential",43,2,45,36,8,NA,NA,NA,NA,11,53,47,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"64",2013-11-03,"Morgan Multi",40,1.5,41.5,35,10.5,NA,NA,NA,NA,13,50,50,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"65",2013-10-29,"Essential",42,3,45,35,10,NA,NA,NA,NA,11,53,47,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"66",2013-10-28,"Newspoll",NA,NA,47,31,10,NA,NA,NA,NA,12,56,44,47,34,32,24,47,28,"MR TONY ABBOTT","MR BILL SHORTEN"
"67",2013-10-22,"Essential",41,3,44,34,10,NA,NA,NA,NA,11,53,47,46,35,NA,NA,41,22,"MR TONY ABBOTT","MR BILL SHORTEN"
"68",2013-10-20,"Morgan Multi",41,2.5,43.5,34.5,10,NA,NA,NA,NA,12,51.5,48.5,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
