,Poll End Date,Source,,Party,,NATIONAL,By State,NEW SOUTH WALES,VICTORIA,QUEENSLAND,SOUTH AUSTRALIA/NT,WESTERN AUSTRALIA,By Geographic,CAPITALS,OTHERS,By Gender,MALE,FEMALE,By Age Group (1),18-24 ,25-39,40-54,55+,By Age Group (2),18-34,35-49,50+,
43_ALP_JG_LNC_TA,18-May-13,Nielsen,,ALP,,32,,28,38,30,32,31,,33,30,,31,33,,40,30,31,31,,,,,
43_ALP_JG_LNC_TA,18-May-13,Nielsen,,COAL,,44,,48,38,45,42,49,,42,49,,44,45,,29,40,46,53,,,,,
43_ALP_JG_LNC_TA,18-May-13,Nielsen,,GRN,,11,,12,14,7,13,11,,13,8,,12,11,,16,17,9,6,,,,,
43_ALP_JG_LNC_TA,18-May-13,Nielsen,,IND,,6,,5,5,8,7,1,,5,6,,6,5,,5,5,6,5,,,,,
43_ALP_JG_LNC_TA,18-May-13,Nielsen,,FFP,,2,,2,1,2,1,2,,2,1,,2,2,,3,2,2,1,,,,,
43_ALP_JG_LNC_TA,18-May-13,Nielsen,,OTH,,5,,5,3,7,5,6,,4,6,,6,4,,7,7,5,3,,,,,
43_ALP_JG_LNC_TA,13-Apr-13,Nielsen,,IND,,6,,7,5,7,7,1,,5,6,,6,5,,5,5,9,4,,,,,
43_ALP_JG_LNC_TA,13-Apr-13,Nielsen,,FFP,,1,,1,1,0,3,2,,1,2,,0,2,,1,1,1,1,,,,,
43_ALP_JG_LNC_TA,13-Apr-13,Nielsen,,COAL,,49,,51,38,54,55,50,,48,51,,50,47,,43,43,47,57,,,,,
43_ALP_JG_LNC_TA,13-Apr-13,Nielsen,,ALP,,29,,27,35,25,23,24,,30,28,,29,29,,32,28,29,30,,,,,
43_ALP_JG_LNC_TA,13-Apr-13,Nielsen,,GRN,,12,,11,16,9,9,10,,13,10,,9,14,,16,19,9,5,,,,,
43_ALP_JG_LNC_TA,13-Apr-13,Nielsen,,OTH,,4,,3,5,4,2,3,,4,4,,4,3,,3,4,5,3,,,,,
43_ALP_JG_LNC_TA,31-Mar-13,Newspoll,,COAL,,46,,46,44,49,41,50,,45,48,,49,43,,,,,,,38,47,51,
43_ALP_JG_LNC_TA,31-Mar-13,Newspoll,,ALP,,33,,33,37,30,32,31,,35,31,,31,36,,,,,,,34,33,34,
43_ALP_JG_LNC_TA,31-Mar-13,Newspoll,,GRN,,10,,10,12,7,11,10,,11,9,,9,11,,,,,,,16,10,6,
43_ALP_JG_LNC_TA,31-Mar-13,Newspoll,,OTH,,11,,11,7,14,16,9,,9,12,,11,10,,,,,,,12,10,9,
